especie
Oscaecilia osae
Caecilia volcani
Gymnopis multiplicata
Dermophis costaricense
Dermophis glandulosus
Dermophis gracilior
Dermophis occidentalis
Dermophis parviceps
Bolitoglossa alvaradoi
Bolitoglossa aurae
Bolitoglossa aureogularis
Bolitoglossa bramei
Bolitoglossa cerroensis
Bolitoglossa colonnea
Bolitoglossa compacta
Bolitoglossa diminuta
Bolitoglossa epimela
Bolitoglossa gomezi
Bolitoglossa gracilis
Bolitoglossa kamuk
Bolitoglossa lignicolor
Bolitoglossa marmorea
Bolitoglossa minutula
Bolitoglossa nigrescens
Bolitoglossa obscura
Bolitoglossa pesrubra
Bolitoglossa pygmaea
Bolitoglossa robinsoni
Bolitoglossa robusta
Bolitoglossa schizodactyla
Bolitoglossa sombra
Bolitoglossa sooyorum
Bolitoglossa splendida
Bolitoglossa striatula
Bolitoglossa subpalmata
Bolitoglossa tica
Nototriton abscondens
Nototriton costaricense
Nototriton gamezi
Nototriton guanacaste
Nototriton major
Nototriton matama
Nototriton picadoi
Nototriton richardi
Nototriton tapanti
Oedipina alfaroi
Oedipina alleni
Oedipina altura
Oedipina berlini
Oedipina carablanca
Oedipina collaris
Oedipina cyclocauda
Oedipina gracilis
Oedipina grandis
Oedipina nimaso
Oedipina pacificensis
Oedipina paucidentata
Oedipina poelzi
Oedipina pseudouniformis
Oedipina savagei
Oedipina uniformis
Allobates talamancae
Atelopus chiriquiensis
Atelopus chirripoensis
Atelopus senex
Atelopus varius
Rhinella horribilis
Incilius chompipe
Incilius epioticus
Incilius guanacaste
Incilius aucoinae
Incilius coccifer
Incilius coniferus
Incilius fastidiosus
Incilius holdridgei
Incilius luetkenii
Incilius melanochlorus
Incilius periglenes
Incilius valliceps
Rhaebo haematiticus
Cochranella euknemos
Cochranella granulosa
Espadarana prosoblepon
Hyalinobatrachium chirripoi
Hyalinobatrachium colymbiphyllum
Hyalinobatrachium fleischmanni
Hyalinobatrachium talamancae
Hyalinobatrachium valerioi
Hyalinobatrachium vireovittatum
Hyalinobatrachium dianae
Sachatamia albomaculata
Sachatamia ilex
Teratohyla pulverata
Teratohyla spinosa
Craugastor aenigmaticus
Craugastor andi
Craugastor angelicus
Craugastor bransfordii
Craugastor catalinae
Craugastor crassidigitus
Craugastor cuaquero
Craugastor escoces
Craugastor fitzingeri
Craugastor fleischmanni
Craugastor gabbi
Craugastor gollmeri
Craugastor gulosus
Craugastor megacephalus
Craugastor melanostictus
Craugastor mimus
Craugastor noblei
Craugastor obesus
Craugastor persimilis
Craugastor phasma
Craugastor podiciferus
Craugastor polyptychus
Craugastor ranoides
Craugastor rayo
Craugastor rhyacobatrachus
Craugastor rugosus
Craugastor stejnegerianus
Craugastor talamancae
Craugastor taurus
Craugastor underwoodi
Craugastor zunigai
Pristimantis altae
Pristimantis caryophyllaceus
Pristimantis cerasinus
Pristimantis cruentus
Pristimantis gaigeae
Pristimantis moro
Pristimantis pardalis
Pristimantis ridens
Pristimantis taeniatus
Strabomantis bufoniformis
Dendrobates auratus
Oophaga granulifera
Oophaga pumilio
Phyllobates lugubris
Phyllobates vittatus
Silverstoneia flotator
Silverstoneia nubicola
Diasporus amirae
Diasporus diastema
Diasporus hylaeformis
Diasporus tigrillo
Diasporus ventrimaculatus
Diasporus vocator
Eleutherodactylus coqui
*Eleutherodactylus johnstonei
*Eleutherodactylus planirostris
Gastrotheca cornuta
Agalychnis annae
Agalychnis callidryas
Agalychnis lemur
Agalychnis saltator
Agalychnis spurrelli
Cruziohyla calcarifer
Cruziohyla sylviae
Tripion spinosus
Dendropsophus ebraccatus
Dendropsophus microcephalus
Dendropsophus phlebodes
Duellmanohyla lythrodes
Duellmanohyla rufioculis
Duellmanohyla uranochroa
Ecnomiohyla fimbrimembra
Ecnomiohyla miliaria
Ecnomiohyla sukia
Ecnomiohyla bailarina
Ecnomiohyla veraguensis
Hyloscirtus colymba
Hyloscirtus palmeri
Boana rosenbergi
Boana rufitela
Isthmohyla angustilineata
Isthmohyla calypsa
Isthmohyla debilis
Isthmohyla lancasteri
Isthmohyla picadoi
Isthmohyla pictipes
Isthmohyla pseudopuma
Isthmohyla rivularis
Isthmohyla tica
Isthmohyla xanthosticta
Isthmohyla zeteki
*Osteopilus septentrionalis
Ptychohyla legleri
Scinax boulengeri
Scinax elaeochroa
Scinax staufferi
Smilisca baudinii
Smilisca manisorum
Smilisca phaeota
Smilisca puma
Smilisca sila
Smilisca sordida
Tlalocohyla celeste
Tlalocohyla loquax
Trachycephalus ”vermiculatus”
Leptodactylus fragilis
Leptodactylus insularum
Leptodactylus melanonotus
Leptodactylus poecilochilus
Leptodactylus savagei
Engysomops pustulosus
Hypopachus pictiventris
Hypopachus variolosus
Ctenophyrne aterrima
Lithobates forreri
Lithobates taylori
Lithobates vaillanti
Lithobates vibicarius
Lithobates warszewitschii
Lithobates catesbeianus
Rhinophrynus dorsalis
