usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
2430985,"Oscaecilia osae Lahanas & Savage, 1992",Oscaecilia osae,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Gymnophiona,Caeciliidae,Oscaecilia,Oscaecilia osae,1,44,131,775,2237,2430984,2430985,FALSE,Amphibia,NA,Oscaecilia osae,1
5218274,"Caecilia volcani Taylor, 1969",Caecilia volcani,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Gymnophiona,Caeciliidae,Caecilia,Caecilia volcani,1,44,131,775,2237,2431001,5218274,FALSE,Amphibia,NA,Caecilia volcani,2
2430978,"Gymnopis multiplicata Peters, 1874",Gymnopis multiplicata,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Gymnophiona,Dermophiidae,Gymnopis,Gymnopis multiplicata,1,44,131,775,8632815,2430977,2430978,FALSE,Amphibia,NA,Gymnopis multiplicata,3
10755414,"Dermophis costaricense Taylor, 1955",Dermophis costaricense,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Gymnophiona,Dermophiidae,Dermophis,Dermophis costaricense,1,44,131,775,8632815,2430905,10755414,FALSE,Amphibia,NA,Dermophis costaricense,4
2430906,"Dermophis glandulosus Taylor, 1955",Dermophis glandulosus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Gymnophiona,Dermophiidae,Dermophis,Dermophis glandulosus,1,44,131,775,8632815,2430905,2430906,FALSE,Amphibia,NA,Dermophis glandulosus,5
2430909,"Dermophis gracilior Günther, 1902",Dermophis gracilior,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Gymnophiona,Dermophiidae,Dermophis,Dermophis gracilior,1,44,131,775,8632815,2430905,2430909,FALSE,Amphibia,NA,Dermophis gracilior,6
2430907,"Dermophis occidentalis Taylor, 1955",Dermophis occidentalis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Gymnophiona,Dermophiidae,Dermophis,Dermophis occidentalis,1,44,131,775,8632815,2430905,2430907,FALSE,Amphibia,NA,Dermophis occidentalis,7
2430911,"Dermophis parviceps (Dunn, 1924)",Dermophis parviceps,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Gymnophiona,Dermophiidae,Dermophis,Dermophis parviceps,1,44,131,775,8632815,2430905,2430911,FALSE,Amphibia,NA,Dermophis parviceps,8
2431254,"Bolitoglossa alvaradoi Taylor, 1954",Bolitoglossa alvaradoi,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa alvaradoi,1,44,131,953,6748,2431243,2431254,FALSE,Amphibia,NA,Bolitoglossa alvaradoi,9
8905972,"Bolitoglossa aurae Kubicki & Arias, 2016",Bolitoglossa aurae,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa aurae,1,44,131,953,6748,2431243,8905972,FALSE,Amphibia,NA,Bolitoglossa aurae,10
8586588,"Bolitoglossa aureogularis Boza-Oviedo, Rovito, Chaves, García-Rodríguez, Artavia, Bolaños & Wake, 2012",Bolitoglossa aureogularis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa aureogularis,1,44,131,953,6748,2431243,8586588,FALSE,Amphibia,NA,Bolitoglossa aureogularis,11
